Título,Assuntos,Pesquisador Responsável no Exterior,Instituição Exterior,País (Acordo/Convênio),Empresa,Grande Área do Conhecimento,Área do Conhecimento,Subárea do Conhecimento
Safer Cities Through Data Science Empowered by Smart Bikes - ATRAI Bikes,Ciência de dados:Cidades inteligentes:Sensores:Bicicletas:Mobilidade urbana,Dr Thomas Bartoschek,University of Munster,Organizações multinacionais,Instituto Cordial de Desenvolvimento Social Ltda,Engenharias,Engenharia de Transportes,Não Informado
"Development and commercialization of a simple, rapid and low cost nucleic acid test for Hepatitis C Virus (HCV) diagnosis",Diagnóstico:Testes genéticos:Vírus da hepatite C:Hepatite B:Tecnologia de baixo custo,Daniel Mamelak,National Research Council Canada (NRC),Canadá,Dentillo e Gavio Identificação e Quantificação Molecular Ltda. - ME,Ciências da Saúde,Saúde Coletiva,Saúde Pública
Generation of forest inventories with a portfolio of remote sensing solutions for Brazilian pulp and paper companies,Inventário florestal:Papel:Sensoriamento remoto,Bruce McArthur,National Research Council Canada (NRC),Canadá,Visiona Tecnologia Espacial S/A,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,Manejo Florestal
Integrated conductive and biomimetic polymeric interfaces able to serve as micro-nanostructured patches for myocardial regeneration,Biomateriais:Polímeros (materiais):Condutividade elétrica:Miocárdio,Rui Reis; Caterina  Cristallini,Universidade do Minho (UMinho); Consiglio Nazionale delle Ricerche (CNR),Organizações multinacionais,Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Ciências Biológicas,Farmacologia,Toxicologia
Development of a rapid and sensitive method for the isolation and diagnosis of microorganisms in human blood,Biologia molecular:Doenças negligenciadas:Diagnóstico clínico:Micro-organismos:Sangue:Fluxo sanguíneo:Reação em cadeia da polimerase multiplex,Pam Roberts,National Research Council Canada (NRC),Canadá,Genotyping Laboratório de Biotecnologia Ltda (Genotyping),Ciências Biológicas,Microbiologia,Microbiologia Aplicada
Time tremors interactive convergent project,Jogos:Jogos eletrônicos:Realidade aumentada:Interface usuário-computador,PATRICK CROWE,Xenophile Media,Canadá,Zuannon Projetos Visuais Ltda,Ciências Sociais Aplicadas,Desenho Industrial,Desenho de Produto
Microwave passive component development for satellite telecommunication and data trasmission applications,Satélites:Tecnologia de micro-ondas,Rob Schleicher,COM DEV International Systems,Canadá,Orbital Engenharia S/A,Engenharias,Engenharia Aeroespacial,Sistemas Aeroespaciais
Utilization of bio-energy industry waste to manufacture recyclable building and electronic parts,Reciclagem de resíduos urbanos:Resíduos industriais:Biocombustíveis:Biopolímeros:Blendas,Prof. Mohini M Sain,University of Toronto (U of T),Canadá,Plasmacro Indústria e Comércio de Polímeros Ltda. - ME,Engenharias,Engenharia de Materiais e Metalúrgica,Materiais Não-metálicos
