Pesquisador Responsável no Exterior,País
Dr Thomas Bartoschek,Alemanha
Daniel Mamelak,Canadá
Bruce McArthur,Canadá
Rui Reis; Caterina  Cristallini,"Portugal, Itália"
Pam Roberts,Canadá
PATRICK CROWE,Canadá
Rob Schleicher,Canadá
Prof. Mohini M Sain,Canadá
