Pesquisador Responsável,Pesquisadores Principais (Atuais),Pesquisadores Principais (Últimos),Pesquisadores Principais (Anteriores),Pesquisadores Associados
Tânia Petta,Não Informado,"Mariane Molina Buffo, Raquel Tassara Nogueira","Mariane Molina Buffo, Raquel Tassara Nogueira",Franklin Behlau - Luiz Alberto Beraldo de Moraes
Camila Nunes Lemos,Não Informado,Não Informado,Não Informado,Bianca Aparecida Martin - Luciana Facco Dalmolin - Renata Fonseca Vianna Lopez - Rogerio Nunes Lemos
Carla Souza,Não Informado,Não Informado,Não Informado,Adriana Oliveira Manfiolli - Carolina Caliári Oliveira
Renan Medico da Silva,Não Informado,Não Informado,Não Informado,Fabio Alves Teixeira - Felipe Marcelo Pereira dos Santos - Luísa Czamanski Nora - Rafael Silva Rocha
José Francisco Torres,Não Informado,Não Informado,Não Informado,Paulo Seleghim Júnior
Anthony Alexandre Weil,Não Informado,Não Informado,Não Informado,Eudes Leonnan Gomes de Medeiros - Romualdo Rodrigues Menezes
Marcel Montels Trevisani,Não Informado,Não Informado,Não Informado,Não Informado
Rita Maria Borges de Moraes,Não Informado,Miriam Verginia Lourenço,Miriam Verginia Lourenço,Antonio Luiz Cerdeira
Ricardo Bonfim Silva,Não Informado,Gustavo Alencastro Veiga Cruzeiro,Gustavo Alencastro Veiga Cruzeiro,Carlos Alberto Oliveira de Biagi Júnior - Elvis Terci Valera - Maristella Bergamo Francisco dos Reis
Carlo Rondinoni,Não Informado,Não Informado,Não Informado,Antonio Adilton Oliveira Carneiro - Helio Rubens Machado - Helton Luiz Aparecido Defino - Oswaldo Baffa Filho
Juan Harold Sosa Arnao,Não Informado,Não Informado,Não Informado,Justo Emilio Alvarez Jácobo
Diego Moure Oliveira,Não Informado,Joyce Mayra Volpini Almeida Dias,Não Informado,Carlos Pamplona Rehder - Guilherme Jorge Gomes de Sousa
João Luis Callegari Lopes,Não Informado,Não Informado,Não Informado,Fernanda Peres Ferreira - Giuliano Cesar Clososki - Leandro Alves Bozzini - Maria Paula Garofo Peixoto - Thais Guaratini
Juliana Magro Ribeiro,Não Informado,Não Informado,Não Informado,Adriana Oliveira Manfiolli - Carolina Caliári Oliveira - Gabriela Cerminaro Rodrigues
Rodrigo Aznar Mendes,Não Informado,Evanir Araújo da Conceição,Evanir Araújo da Conceição,Não Informado
Luis Gustavo Silva Scarpari,Não Informado,José Ricardo Silva Scarpari,José Ricardo Silva Scarpari,Elitamara Morsoletto - Igor do Nascimento Drago - Roberto Gil Annes da Silva
Bruna Moretto Rodrigues,Não Informado,Não Informado,Não Informado,Ana Paula Carneiro dos Santos - Andrei Félix de Oliveira - Cléber Pinto Camacho - Fabiano Mesquita Callegari - Flávia Gaona de Oliveira Gennaro - João Roberto Maciel Martins - Marcos Tadeu dos Santos
Ana Carolina Rodrigues Montes,Não Informado,Não Informado,Não Informado,Luis Alexandre Pedro de Freitas - Luís Victor Dantas de Freitas
Tatiana Magalhães,Não Informado,Não Informado,Não Informado,Lucas Garcia von Zuben - NILCE NAOMI KOBORI - Túlio Marcos Nunes
Diego Fiori de Carvalho,Não Informado,Não Informado,Não Informado,Harley Francisco de Oliveira
Thaís Carvalho Maester Casanova,Não Informado,Não Informado,Não Informado,Erica Mendes Lopes
Robson Luis Ferraz do Amaral,Não Informado,Não Informado,Não Informado,Fernanda Maris Peria - Kamilla Swiech Antonietto
Larissa Galante Elias,Não Informado,"Bárbara Matos Do Prado, Túlio Marcos Nunes",Não Informado,Cristiano Menezes - David De Jong - Filipe Jose Dal Bo de Andrade - Gabriel Moura Mascarin - Lucas Garcia von Zuben
Jose Gonçalves Franco Junior,Não Informado,"Antonio Hélio Oliani, Laura Diniz Vagnini Alavarse",Não Informado,Adriana Renzi - Ana Lúcia Mauri - Joao Batista Alcantara Oliveira
Adriana Ferreira Lopes Vilela,Não Informado,Não Informado,Não Informado,Juliana Maria de Lima
Carla Carolina Munari,Não Informado,Não Informado,Não Informado,Ana Luiza Scarano Aguillera Forte - Ana Marisa Chudzinski-Tavassi - Denise Crispim Tavares - Nayara Cristina Perez de Albuquerque
Hilton Vicente César,Não Informado,Não Informado,Não Informado,Jorge Elias Júnior - Paulo Mazzoncini de Azevedo Marques
Tânia Petta,Não Informado,Não Informado,Não Informado,Franklin Behlau - Luiz Alberto Beraldo de Moraes
Luiz Carlos de Oliveira,Não Informado,Não Informado,Não Informado,Não Informado
José Antonio Camacho Guerrero,Não Informado,Não Informado,Não Informado,Harley Francisco de Oliveira
Lucas Madureira dos Anjos,Não Informado,Não Informado,Não Informado,André Luiz Martins Pignata - Luciana Oranges Cezarino - Rafael Madureira dos Anjos - Rodrigo Palucci Pantoni
Carlo Rondinoni,Não Informado,Não Informado,Não Informado,Antonio Adilton Oliveira Carneiro - Helio Rubens Machado - Helton Luiz Aparecido Defino - Oswaldo Baffa Filho - Renan Hiroshi Matsuda - Theo Zeferino Pavan
Adriana Oliveira Manfiolli,Não Informado,Não Informado,Não Informado,Carolina Caliári Oliveira - Claudio Miguel da Costa Neto - Kamilla Swiech Antonietto - Kelen Cristina Ribeiro Malmegrim de Farias
Rafael Mira de Oliveira Libardi,Não Informado,Não Informado,Não Informado,Emanuel Carlos de Alcantara Valente - Lucas da Silva Assis
Daniela Spuri Bernardi,Não Informado,Não Informado,Não Informado,Não Informado
Vanessa Leiria Campo,Não Informado,Não Informado,Não Informado,Marcelo Dias Baruffi - Marcelo Fiori Marchiori
Hugo Cesar Pessotti,Não Informado,Juliana Tarossi Pollettini,Juliana Tarossi Pollettini,Não Informado
Larissa Galante Elias,Não Informado,"Lucas Garcia von Zuben, Tatiana Magalhães, Túlio Marcos Nunes",Não Informado,Cristiano Menezes - Filipe Jose Dal Bo de Andrade
Fernanda Rebel Moreira Alves,Não Informado,Não Informado,Não Informado,Alceu Afonso Jordão Junior - Andresa Aparecida Berretta e Silva - Franciane Marquele de Oliveira - Paula Garcia Chiarello
Ana Luiza Scarano Aguillera Forte,Não Informado,Não Informado,Não Informado,Maria José Vieira Fonseca
Alexandre Martinewski,Não Informado,Não Informado,Não Informado,Não Informado
