Empresa,Título,Resumo
Ciaware Centro de Informatizações e Análises Ltda,Desenvolvimento de plataforma computacional e aplicativos móveis para captura e gerenciamento de documentos de saúde em suporte papel e nato-digitais em conformidade com a legislação brasileira (SBIS/CFM/CONARQ) e aderência à lei americana HIPAA,"Implementar o Prontuário Eletrônico do Paciente (PEP) requer o transporte do prontuário do paciente em suporte papel (legado) para o eletrônico através de um serviço de digitalização centralizado que os disponibilize em um Sistema de Gestão Eletrônica de Documentos (SGED) que permita acoplamento com o PEP (SBIS, 2013; CFM, 2002). Fora do PEP, há ainda, a captura distribuída de informações de saúde que têm aumentando com a consumerização das Tecnologias da Informação e Comunicação (TICs) criando documentos nato-digitais e gerando um volume e uma frequência grande de dados (Câmara, 2014; Pinochet, 2014; Gambi & et.al., 2013; Figueiredo & et.al., 2013; Alkmim, 2012). Para gerenciar os documentos nato-digitais criados fora do PEP é preciso atender ao modelo de requisitos para Sistemas Informatizados de Gestão Arquivística de Documentos (SIGAD) (Coletto, 2015; Schäfer & Lima, 2012; CONARQ, 2011). O atendimento de saúde centrado no paciente é uma tendência mundial e uma preocupação de médicos, paramédicos, enfermeiros e da sociedade civil por conta do compartilhamento das informações de saúde que correm o risco de serem acessadas indevidamente (Rathert & et. al., 2016). Essa e outras questões são discutidas há décadas por comunidades cientificas e o mercado de saúde pelo mundo resultando em padrões internacionais que visam garantir a privacidade, a segurança e a disponibilidade das informações em saúde de maneira apropriada. Os objetivos dessa fase do projeto visam: 1) aprimoramento dos artefatos de software construídos na fase 1; 2) Construção de novos artefatos de software que implementem os padrões internacionais de interoperabilidade (IHE, HL7, openEHR e DICOM); 3) Validação do projeto junto ao corpo clínico de dermatologia e pediatria de um hospital universitário no interior de São Paulo. O produto deste projeto é o CIAware V4 que canaliza e centraliza as informações de saúde capturando desde acervos de prontuários de pacientes em suporte papel até sinais vitais de dispositivos vestíveis (documentos nato-digitais) considerando a legislação brasileira (CFM, SBIS e CONARQ), padrões internacionais de interoperabilidade (IHE, HL7, openEHR e DICOM) e normas internacionais (HIPPA). Seguindo a ideia de boas práticas e ética inerentes a esses padrões internacionais de saúde, é possível criar um ecossistema computacional colaborativo capaz de empoderar o paciente. Análogo a blocos de montar (Lego®), o CIAware V4 faz parte do ecossistema computacional """"CIAware Saúde"""" que atenderá desde um médico até um complexo hospitalar de forma modular, diminuindo as barreiras e proporcionando oportunidades para negociação do ecossistema completo e serviços de digitalização. Serão disponibilizados os módulos de GED, PEP (App cwCare), PPP (App cwPeople), captura de imagens de serviço de PACS (Picture Archiving and Communication System). Neste momento, as imagens capturadas serão para fins documentais dispensando o registro da ANVISA. O público alvo são os consultórios e clinicas médicas e paramédicas (101.989 na região sudeste), hospitais (2340 na região sudeste) e pacientes (cerca de 30 milhões beneficiários de operadores de saúde na região sudeste). As instituições e profissionais de saúde tem trazido o paciente para o centro da atenção e precisam de uma solução informatizada capaz de suprir esse desafio de forma inovadora, flexível, fácil, consistente, privativa, segura, legal e a prova de futuro. Esta é a contribuição que se espera alcançar com este projeto de pesquisa. (AU)"
Innolution Sistemas de Informática Ltda,SIPRAD: Sistema de Planejamento Radioterápico,"Diversas são as dificuldades do planejamento radioterápico no nosso país, pois poucos são os hospitais que possuem soluções mesmo que não totais para o planejamento radioterápico. O próprio posicionamento das regiões no momento do exame é realizado de maneira artesanal. Em alguns hospitais, esta etapa é realizada por meio do uso de moldes, e marcações de tintas, como uma espécie de tatuagem para marcação temporária da correta região de aplicação da radiação. Recentemente o Conselho Federal de Medicina, optou por recomendar o uso de softwares de planejamento radioterápico gerando uma demanda gigantesca por essa solução. Atualmente essa necessidade e demanda são reais não somente ao cenário paulista como também nacional. Faz-se necessário a construção de uma solução para o aumento de precisão e aperfeiçoamento do processo de tratamento de radioterapia em hospitais públicos e privados do Brasil, criando uma alternativa 100% nacional de produto e custo com a realidade brasileira para sistemas dessa natureza. Este projeto visa a construção de um software para essa necessidade urgente brasileira. (AU)"
Apis Flora Industrial e Comercial Ltda,Desenvolvimento de um medicamento para tratamento de candidíase vulvovaginal,"Sabe-se que 70 - 75% das mulheres apresentarão pelo menos um episódio de candidíase vaginal em suas vidas, e cerca de 40 a 50% sofrerão infecções recorrentes. As infecções vaginais por Candida são caracterizadas por depleção dos Lactobacillus spp. normais, um aumento no pH vaginal e um super crescimento de patógenos na flora vaginal. A eficácia do tratamento tópico de micoses superficiais, depende dentre muitas variáveis, do contato íntimo do antifúngico com a mucosa vaginal por um período de tempo prolongado. As formulações intravaginais disponíveis apresentam baixo tempo de permanência local, necessitando de múltiplas aplicações para a obtenção de sucesso no tratamento proposto. Os antifúngicos disponíveis apresentam uso limitado devido a fatores como baixa potência e solubilidade, toxicidade e o aparecimento de cepas resistentes, consequências de seu uso indiscriminado. Já foi demonstrado que a própolis é eficiente no tratamento de candidíase oral e que pode ser um medicamento contra infecções vaginais. Além disso, diferentemente dos antifúngicos e antibióticos comumente utilizados, não existem relatos de que a própolis promova o surgimento de organismos resistentes e a mesma induz a letalidade fúngica por mecanismos distintos dos observados com os antifúngicos atualmente disponíveis no mercado. Resultados obtidos na fase 1 do projeto (PIPE-Fapesp) demonstraram o potencial do extrato alcoólico de própolis como um fungicida, além disso, foi possível a elucidação da importante participação dos compostos artepelin C, isossakuranetina e nerolidol nas ações do produto. A proposta abrange o desenvolvimento, caracterização química, física e microbiológica de um gel mucoadesivo contendo própolis para tratamento da candidíase vaginal, além da avaliação da segurança e eficácia pré-clínica e clínica do medicamento. Pretende-se também realizar a caracterização da microflora vaginal de pacientes com candidíase vulvovaginal que foram tratados com a própolis. Esta avaliação poderá proporcionar um conhecimento acerca dos fatores de recolonização da microflora vaginal após o tratamento com a mesma. Essas informações poderão auxiliar no melhor manejo e eficácia do tratamento e da posologia da própolis no tratamento da candidíase vulvovaginal. Assim, diante do exposto, a realização do presente projeto estará contribuindo estrategicamente no tratamento de uma doença de alta recorrência, através do desenvolvimento de um sistema de liberação mucoadesivo a base de polímeros biocompatíveis que visam o aumento do tempo de permanência e liberação controladas de um antifúngico bioativo, uma proposta inovadora para o mercado. (AU)"
Kidopi Soluções em Informática Médica Ltda (Kidopi),"Aprimoramento do sistema CleverCare por meio do desenvolvimento de novas funcionalidades, adaptações para internacionalização e desenvolvimento de novos métodos de acesso ao sistema","A Kidopi desenvolveu e comercializa o CleverCare (www.CleverCare.com.br), um framework voltado para o controle, gestão e orientação de pacientes que necessitam de acompanhamento médico contínuo, eleito o melhor software em saúde do mundo pela Organização das Nações Unidas (ONU) no World Summit Award (WSA) em 2015 (http://www.wsis-award.org/winners). No mercado nacional o CleverCare está implantado junto ao Hospital Albert Einstein, hospital referência no cuidado em saúde, onde atua no acompanhamento de pacientes diabéticos e foi estabelecido um acordo de cooperação técnico e operacional para exploração de novos cenários de inovação e implantação. O CleverCare encontra-se ainda em fase avançada de implantação para o cuidado de pacientes hipertensos junto ao Hospital das Clínicas de Ribeirão Preto. Além de interfaces gráficas para usuários e APIs de acesso, o CleverCare possui uma máquina de estados, sistema de gestão de diálogos, ferramentas de Processamento de Linguagem Natural (PLN) e integração com serviços de mensagem como Telegram e SMS, que permitem a comunicação entre paciente e sistema de forma personalizada e ativa, proporcionando um cuidado próximo. A meta deste projeto é o aprimorar o processamento de linguagem natural (PLN) do CleverCare, incluindo suporte para línguas estrangeiras, desenvolver um módulo Tomador de Decisões para tornar mais robusta a gestão dos diálogos e desenvolver um novo método de acesso por meio de dispositivos vestíveis, visando conferir maior dinamismo e eficácia no acompanhamento do paciente, uma vez que a aderência do paciente ao seu plano de tratamento é essencial para o desfecho positivo de sua enfermidade. As inovações propostas visam potencializar o caráter inovador do CleverCare e prepará-lo para uma fase de expansão internacional que vem sendo planejada em missões empresariais em parceria com a Anprotex, Apex e Redempreendia. Com essas melhorias, espera-se tornar o CleverCare mais competitivo no mercado nacional, possibilitar sua inserção no mercado internacional e aumentar a aderência do paciente ao seu plano de tratamento. (AU)"
Laboratório Vitafort Indústria e Comércio Produtos Veterinários Ltda,Pesquisa e desenvolvimento de nova vacina para mastite bovina,"Para esse projeto de FASE 2 a empresa tem como objetivo realizar os testes de eficácia e segurança nos animais alvo, obter o registro de produto junto ao MAPA e dar início à comercialização. A alta prevalência da doença e o alto custo dos tratamentos instituídos, juntamente com os prejuízos, perdas na produção e na qualidade do leite, justificam a necessidade de uma nova vacina para o efetivo controle da mastite bovina. A comercialização desse novo produto será feita pela empresa VitaFort que conta com logística consolidada para venda de produtos veterinários para o mercado nacional. (AU)"
Sensorial Desenvolvimento de Software Ltda. - ME,"Método computacional para desenvolvimento percepção, da atenção e da ação de atletas","Como melhorar o desempenho de atletas sem aumentar o desgaste físico? Com o objetivo de aprimorar a performance desde a formação até o alto rendimento de esportistas, o presente projeto pretende desenvolver métodos computacionais interativos para treinamento perceptual e cognitivo de atletas. Baseados na neurociência e na psicologia experimental, além dos resultados competitivos, os métodos visam auxiliar tanto no diagnóstico como futuramente na recuperação de traumas cranioencefálicos, comum em esportes onde há contato físico. A equipe, formada por profissionais das neurociências, psicologia do esporte, desempenho no esporte, medicina, e desenvolvimento computacional e inteligência artificial, será responsável pela elaboração do produto e pela transposição da neurociência do laboratório para situações reais. O projeto pretende, além de fornecer dados relevantes à literatura científica da percepção e cognição no esporte, lançar no mercado um produto único, proporcionando resultados e cuidado com a saúde neurológica de um amplo segmento da população. (AU)"
Onkos Diagnósticos Moleculares Ltda. - ME,Perfis de microRNAs como ferramenta de identificação de recidiva em pacientes com câncer de próstata,"O câncer de próstata é o segundo mais comum entre homens no Brasil (aproximadamente 28 % dos casos) e nos últimos anos tem sido observado um aumento na sua incidência, com alta taxa de mortalidade. Diretrizes estabelecidas pela Sociedade Brasileira de Urologia (SBU) recomendam que o diagnóstico deve ser predito após a realização do toque retal (TR) e da dosagem do antígeno prostático específico (PSA). O diagnóstico só é definido através de biópsia. Geralmente, indica-se a prostatectomia radical (PR) para pacientes que apresentam neoplasia localizada, clinicamente significativa e com expectativa de sobrevida de pelo menos 10 anos. Entretanto um alto percentual (30 % - 40 %) dos pacientes apresentam recidiva bioquímica, sendo que grande parte deles apresentam manifestação de doença metastática. Ainda não há um marcador tumoral ideal para o diagnóstico de câncer de próstata, mas o PSA é o mais utilizado para detecção de recidiva bioquímica após PR, apesar de sua baixa especificidade. Alternativamente, a identificação de biomarcadores moleculares tem se mostrado uma abordagem inovadora na predição do risco de recidiva bioquímica e agressividade do câncer de próstata. MicroRNAs são potenciais candidatos a biomarcadores devido à sua participação em processos de proliferação, diferenciação e progressão celular, agindo como oncogenes ou supressores tumorais, além de oferecerem alta especificidade. Portanto, nosso objetivo é desenvolver, validar e comercializar um teste molecular baseado em microRNA profiling que possa prever com alta acurácia os riscos de uma recidiva bioquímica e progressão do tumor para metástase em pacientes que realizaram a prostatectomia radical. Para isso, pretendemos avaliar a expressão de microRNAs selecionados (com base em extensa pesquisa bibliográfica) em tecidos tumorais de próstata de três grupos de pacientes: os que não apresentaram reincidência do câncer; os que tiveram recidiva bioquímica sem metástase dentro de 5 anos após a prostatectomia, e os que desenvolveram metástase. Metade das amostras será analisada e servirá de base para o desenvolvimento de um classificador molecular baseado em assinaturas de microRNA. A outra parte das amostras será usada na validação do algoritmo desenvolvido. A ONKOS contará com a parceria e a infraestrutura do Hospital de Câncer de Barretos e pretende atuar em um nicho do mercado de diagnósticos moleculares até então não explorado no Brasil, estabelecendo a técnica de Gene Expression Profiling como uma plataforma tecnológica, com foco na área de medicina personalizada para oncologia. Sob os pilares do conhecimento, inovação aberta e solução ao cliente, a empresa pretende se diferenciar da concorrência através de um P&D de alto desempenho. É de fundamental importância o desenvolvimento de novas técnicas de determinação dos fatores prognósticos em câncer de próstata  que permitam o apoio a tomada de decisão clínica de forma mais objetiva que as ferramentas atuais, visando  individualizar o tratamento assim como possibilitar um preço mais acessível que os competidores por se tratar de uma tecnologia nacional. (AU)"
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Estabelecimento de um modelo de pele tridimensional para o desenvolvimento e avaliação da eficácia de formulações cosméticas fotoprotetoras e antienvelhecimento,"A exposição à radiação ultravioleta (RUV) promove impactos biológicos na pele e o excesso da mesma é apontado como um dos principais fatores de risco para o envelhecimento e o desenvolvimento de todos os tipos de câncer de pele. A prevalência do câncer de pele é muito alta, sendo o tipo de câncer mais diagnosticado nos Estados Unidos e correspondendo a, pelo menos, 25% de todos os tumores registrados no Brasil. O uso de filtros solares é apontado como uma das principais estratégias para redução dos danos da RUV sobre a pele, bem como o câncer. Contudo, os atuais parâmetros utilizados para avaliar a fotoproteção não são representativos para proteção contra os reais danos às estruturas e componentes celulares, incluindo DNA, lipídeos e proteínas, além de exigirem estudos em voluntários, levando a importantes desvantagens no campo ético e financeiro. Além disso, outras substâncias também são adicionadas aos fotoprotetores com o objetivo de amenizar o fotoenvelhecimento, porém pouco se sabe sobre os potenciais riscos que essas associações podem desencadear na pele. Neste contexto, a inovação proposta neste projeto é o desenvolvimento de um produto baseado em pele tridimensional contendo melanócitos destinado à realização de testes in vitro, com o qual, utilizando ensaios específicos, será possível determinar a segurança e eficácia, bem como, os reais danos/benefícios de fotoprotetores e produtos antienvelhecimento. Além de permitir a real quantificação dos danos que a radiação UV causa na pele, ainda que na presença de filtros solares (uma vez que a incidência de câncer de pele tem sido elevada mesmo com o aumento do uso de fotoprotetores), a utilização da tecnologia inovadora empregada no produto proposto vem de encontro às necessidades clamadas por normativas internacionais, como """"Cosmetics Directive"""" da União Européia desde 2004, bem como normativas nacionais e estaduais para a minimização do uso de animais em estudos pré-clínicos (Brasil, 2014). Assim, o modelo de pele tridimensional, que apresentam características inovadoras no âmbito mundial por mimetizarem a estrutura completa da pele incluindo a presença fundamental de melanócitos que mimetiza as condições fisiológicas, uma vez que a produção de melanina está intimamente relacionada com os efeitos da RUV na pele, poderá ser empregado para a realização de estudos pré-clínicos em larga escala na tentativa de promover maior segurança e eficácia de fotoprotetores atendendo empresas cosméticas, cuja demanda é crescente, além da obrigação legal do fim de testes com animais. (AU)"
LCR Kimera Biotecnologia Ltda,"Produção de gonadotrofina coriônica equina recombinante (r-eCG) em sistema eucariótico, para uso em protocolos de sincronização de cio","O projeto em questão visa a maturação de um processo biotecnológico inovador, eficaz e eficiente para a produção industrial de um insumo crítico no manejo da reprodução animal: a gonadotrofina coriônica equina. Atualmente, o processo de obtenção deste hormônio é baseado na purificação de sua forma nativa a partir do soro de éguas prenhes. Salienta-se que este processo apresenta limitações importantes e a grande maioria da oferta da forma nativa deste insumo é de produtos importados. Desta forma, objetiva-se ofertar ao mercado nacional/mundial uma forma recombinante estável, pura, glicosilada e ativa da gonadotrofina coriônica equina (r-eCG) para o uso em protocolos de sincronização de cio de mamíferos, obtida por meio de uma estratégia biotecnológica inovadora e de fácil fracionamento/escalonamento. (AU)"
M C Tech Biotecnologia Ltda,Aplicação do antibiótico nigericina para controle microbiológico no setor agroindustrial,"O setor sucroalcooleiro foi responsável por aproximadamente 2% do PIB nacional e por 31% do PIB da agricultura no Brasil em 2012, tendo empregado cerca de 4,5 milhões de pessoas. O Brasil é o segundo maior produtor de etanol do mundo. No entanto, o monitoramento e o controle de contaminantes da microbiota nas dornas de fermentação são fundamentais para a melhora na eficiência e no rendimento da produção de etanol. A contaminação bacteriana é certamente o principal fator que afeta a fermentação alcoólica. Quando a contaminação bacteriana atinge níveis entre 107 e 108 células/mL de mosto, ocorrem queda significativa no rendimento alcoólico. Sem dúvida alguma, o uso de biocidas os quais, em virtude de suas propriedades bactericidas ou bacteriostáticas, funcionam como agentes desinfetantes, reduzindo a contaminação microbiológica da fermentação é o procedimento mais comumente empregado. Os antibióticos comerciais mais utilizados para o controle bacteriano durante a fermentação são o clorafenicol, a tetraciclina, a penicilina e a monensina sódica. Dentre os quais se destaca o antibiótico importado, monensina sódica, que possui grande atividade sobre bactérias Gram-positivas, as principais causas de contaminação no processo de fermentação etanólica. Atualmente, o gasto com antibióticos para a produção de etanol está em torno de R$ 0,02 por litro, sendo assim, a implantação de uma produção local de antibiótico a baixo custo pode ser uma alternativa para a diminuição do custo final na produção de etanol. Se a tecnologia atender toda a produção do Estado de São Paulo, e gerasse uma diminuição de R$ 0,01 por litro de etanol produzido, a economia seria de R$ 99 milhões considerando a safra de 2013/14. A monensina é comercializada por várias empresas do setor, com vendas anuais de 180 toneladas ao preço médio de R$ 220,00/Kg, perfazendo anualmente o valor de R$ 39.600.000,00. A monensina sódica pertence à classe de antibióticos poliéteres ionóforos, produzidos por actinobactérias do gênero Streptomyces cinnamonensis, dentro desta classe de compostos são conhecidas mais de 120 estruturas diferentes, dentre elas a nigericina. Em um trabalho recente, referente à dissertação de mestrado do aluno André Luiz Scridelli Silva, foi avaliado o potencial de produção de nigericina pela actinobactéria EUCAL 26, isolada da rizosfera do eucalipto. Esta actinobactéria apresenta um grande potencial biotecnológico, em virtude de produzir apenas a nigericina como metabolito ativo, ou seja, o extrato bruto é composto única e exclusivamente por nigericina. Outro resultado bastante promissor, foi a produção de nigericina em aproximadamente 500,0 mg/L, empregando uma solução melaço de soja 1% como meio de cultivo. O melaço de soja é um resíduo agroindustrial de baixo custo e com grande potencial para aplicação em processos biotecnológicos. Também foi realizado testes de atividade biológica comparativos entre nigericina e monensina, frente a diferentes linhagens de bactérias, onde a nigericina apresentou maior atividades em menores concentrações. Visto a isso, prevê-se uma diminuição na adição de antibiótico, tornando o processo mais sustentável. Desta forma, o principal objetivo deste projeto PIPE é avaliar a possibilidade de introduzir no mercado um produto sustentável e de baixo custo para ser utilizado no controle de contaminantes do mosto de fermentação para a produção de etanol. Deste modo, a empresa MC DESINFECÇÃO INDUSTRIAL propõe um projeto, que conta com uma colaboração inédita com o Laboratório de Espectrometria de Massas Aplicada a Produtos Naturais (USP - Ribeirão Preto) e com a Faculdade de Ciências Farmacêuticas da UNESP de Araraquara, visando avaliar o desenvolvimento do potencial de aplicação do antibiótico nigericina para o controle microbiológico do processo de fermentação do etanol produzido pela actinobactéria EUCAL 26, isolado e produzido em trabalhos realizados na USP de São Paulo. (AU)"
Rafael Mira de Oliveira Libardi Eireli - ME,Armazenamento multi nuvem privado e seguro de arquivos usando dispersão de dados e criptografia,"As perdas e os vazamentos de dados são problemas que geram cada vez mais preocupações globalmente. Só no Reino Unido 78% das pequenas e médias empresas (PMEs) sofreram vazamento de dados em 2014 e 82% das empresas considerando como prioridade alta investir em proteção de dados nos próximos anos. Isto cria um ambiente muito favorável (US$6 bi) para soluções de baixo custo que protejam os dados contra perdas e vazamentos. Esta proposta apresenta um projeto de criação de uma tecnologia de armazenamento seguro de arquivos em ambientes multi nuvem. Utilizando dispersão de dados, criptografia e a seleção estratégica de provedores de nuvem é possível armazenar arquivos com alta segurança, privacidade, disponibilidade e desempenho. Ainda existe a necessidade de pesquisa e desenvolvimento para melhorar a tecnologia e torná-la comercialmente viável. Os objetivos desta proposta são estudar e desenvolver mecanismos de segurança na aplicação frontend e escalar este modelo, propondo arquiteturas e algoritmos mais eficientes e protegê-los intelectualmente. A metodologia será composta do estudo de novos mecanismos e desenvolvimento de um protótipo que será testado e se tornará um mínimo produto viável (MVP) para comercialização na Fase 2. Esta tecnologia irá aumentar consideravelmente o grau de privacidade e proteção dos dados para PMEs, sendo acessível e compatível com regulamentações de dados internacionais. Devido a solução ser global, o foco inicial é no mercado europeu, por isso a empresa possui registro ativo no Reino Unido (no. 09527513) e membros localizados no Brasil e no Reino Unido, o que facilita a entrada no mercado alvo. (AU)"
Apis Flora Industrial e Comercial Ltda,"Obtenção de um antibiótico de origem natural, obtido por processo biotecnológico, para controle de contaminação de processos de fermentação alcoólica","A indústria de etanol e açúcar no Brasil atinge 2,3% do PIB, gerando 4,5 milhões de empregos. Atualmente, 432 empresas produzem em torno de 27 bilhões de litros de etanol e 38,7 milhões de toneladas de açúcar. A CONAB prevê a produção de 22.857,6 bilhões de litros de etanol para 2012. A partir da implantação do Proálcool, todas as novas destilarias trabalham com processo de batelada alimentada com reciclo de células de leveduras, sendo que para tal, as leveduras recebem um tratamento com ácido sulfúrico para redução da carga microbiana. Os substratos são composições complexas que podem suportar o crescimento de distintas leveduras e bactérias, que podem resultar em episódios de contaminação e resultar em grande perda econômica. Bactérias gram positivas como Lactobacillus e Bacillus são as principais contaminantes do processo. Em alguns casos, a contaminação atinge 108 bacilos/ml causando perdas de 10.000 a 30.000 litros de bioetanol/dia para uma destilaria que produz 1 milhão de litros/dia. Nas indústrias, são empregados antibióticos e biocidas (carbamatos, compostos quaternários, etc.) e ácido sulfúrico para reduzir a carga microbiana contaminante, porém tais compostos têm deixado resíduos químicos indesejáveis na massa seca de leveduras, bem como metais pesados, fato que tem causado embargo de lotes nos países para onde os mesmos são exportados. Diante do problema, emerge como uma matéria-prima promissora a própolis, produto elaborado pelas abelhas Apis mellifera a partir dos exsudatos e resinas vegetais, visto que esta tem sido utilizada há muito tempo como um antibiótico natural. A própolis apresenta atividade antimicrobiana, inclusive contra L. fermentum e B. subtillis, contaminantes encontrados no processo. Entretanto, acredita-se que o extrato de própolis submetido a um processo de biotransformação por cepas produtoras de beta-glicosidases, como Aspergillus sp., pode resultar em um extrato com altos teores de flavonóides na forma aglicona e, portanto, com maior potencial biológico. Assim, essa proposta visa avaliar diferentes extratos de própolis (marrom e verde) bem como obter e avaliar extratos biotransformados. Para tanto, serão empregadas técnicas de extração convencionais e em meio sólido, sendo que os extratos serão caracterizados por UV e HPLC. Será realizado um """"screening"""" da atividade antimicrobiana dos extratos, os quais também serão avaliados em processos fermentativos. Objetiva-se obter um extrato biotransformado inovador para controle de contaminação e sem resíduos. (AU)"
Labmaq do Brasil Ltda,Equipamento para revestimento de formas farmacêuticas,"O mercado de revestimento de formas farmacêuticas cresce cada dia mais, devido a sempre presente preocupação em produzir formas farmacêuticas revestidas com qualidade e alta reprodutibilidade, além do crescimento das novas tecnologias em farmacotécnica como o revestimento de liberação controlada e a microencapsulação. O mini leito fluidizado (MLF) desenvolvido pela Labmaq do Brasil Ltda com o auxílio da FAPESP obteve muito sucesso em suas fases I e II. Assim, com os resultados obtidos nestas fases, acredita-se no sucesso final do projeto através do financiamento parcial de custos na FASE III. Como principais objetivos, tem-se: viabilizar às farmácias de manipulação o acesso a equipamentos nacionais que permitam a produção de medicamentos em condições competitivas, atender as instituições de ensino de farmácia com um equipamento de pequena escala e permitir as indústrias farmacêuticas, estudos, ajustes e análises do processo de revestimento. As principais etapas para o desenvolvimento do projeto seria a adequação do equipamento para tornar-se mais viável economicamente, iniciar o processo para obtenção do registro de patente, além disso, credenciar o MLF no programa FINAME/BNDES para facilitar a aquisição do mesmo pelas farmácias magistrais. Uma forma rápida para atingir um maior número possível de usuários seria através da participação da Labmaq do Brasil em eventos voltados para a indústria farmacêutica e alimentícia, por isso a exposição do equipamento em feiras e eventos será de grande importância para divulgação do equipamento e da marca Labmaq do Brasil. Ainda nesta área de divulgação, outra imprescindível ferramenta é a realização de workshops e cursos voltados para pesquisadores da área farmacêutica, gerentes técnicos das farmácias magistrais e revendedores/distribuidores de equipamentos para área de laboratório e pesquisa farmacêutica. Assim, considera-se que o desenvolvimento da Fase III para o mini leito fluidizado (MLF) Labmaq do Brasil viabiliza a sua comercialização e a consolidação da técnica de revestimento para clientes potenciais. (AU)"
Narcissus Pesquisa Clínica e Biotecnologia Ltda. - ME,Estabelecimento e padronização do modelo ex vivo de pele humana para avaliação de segurança e eficácia de filtro de proteção solar (FPS),"A empresa Narcissus Pesquisa Clínica e Biotecnologia Ltda, localizada em Ribeirão Preto-SP, tem como missão tornar-se referência na realização e inovação de testes clínicos e pré-clínicos necessários para o desenvolvimento de produtos cosméticos. Tais testes servem para garantir a sua eficácia e segurança """"in vivo"""" e """"ex vivo"""" sendo fundamentais para registro e comercialização de cosméticos junto a ANVISA. Em vários países os testes em animais para cosméticos foram proibidos e aplicadas sérias limitações às indústrias ligadas a esta prática. Alguns países criaram centros de pesquisa e fomento para o desenvolvimento e validação de metodologias alternativas ao uso de animais. No Brasil o BRACVAM, recentemente criado, propõe desenvolver métodos alternativos de validação de pesquisa que não utilizam testes em animais. Sendo assim, esse projeto busca desenvolver e padronizar o sistema HOSEC (HUMAN ORGANOTYPIC SKIN CULTURE) para ensaios de segurança e eficácia com produtos tópicos (cosméticos) para fotoproteção. O sistema HOSEC, por apresentar melanócitos, células de Langerhans, queratinócitos e toda a estrutura da derme (glicosaminoglicanas e colágeno) é mais próximo da pele em condições de uso in vivo em humanos. Por apresentar uma interface ar-líquido, o sistema HOSEC permite a aplicação de cremes, pomadas e substâncias lipossolúveis, semelhante à aplicação tópica diária, diferente dos sistemas de cultura celular que somente permitem o uso de substâncias solúveis no meio de cultura, além do custo mais baixo e maior rapidez para a execução de testes que os sistemas in vitro disponíveis. Para validação do modelo HOSEC para eficácia de FPS propõe-se o estudo comparativo entre esse e o modelo animal e humano. Espera-se que no modelo HOSEC os resultados sejam semelhantes aos do modelo animal (camundongo hairless) e humano, já estabelecidos. Isto comprovará que o método é viável e pode ser usado como alternativa ao uso de animais para os estudos pré-clínicos e aos modelos clínicos com voluntários para avaliar a eficácia e segurança de fotoprotetores, consolidando assim a imagem inovadora da empresa. Com a validação desse método inovador a empresa atendera às necessidades da indústria de produtos cosméticos. Além disso, se consolidará como uma empresa parceira a este setor, tanto para inovação quanto para o atendimento ao mercado e normas de segurança para o lançamento de produtos cosméticos. (AU)"
