Pesquisadores,Quantidade
Total de Pesquisadores (todas categorias),4552
Pesquisadores Responsáveis,2779
Total de Pesquisadores Principais,826
Pesquisadores Principais (Atuais),104
Pesquisadores Principais (Últimos),713
Pesquisadores Principais (Anteriores),255
Pesquisadores Associados,1214
Pesquisadores Responsáveis no Exterior,9
Pesquisadores em Projetos com Cooperação Exterior,25
