Pesquisas,Quantidade
Total de Pesquisas,5716
Pesquisas com Cooperação Exterior (qualquer),17
Pesquisas Nacionais (sem cooperação exterior),5699
Pesquisas com Instituição no Exterior,8
Pesquisas Nacionais (sem instituição exterior),5708
Pesquisas com Cooperação FAPESP Exterior (Geral),815
Pesquisas com Acordo/Convênio Exterior,17
Pesquisas Nacionais (sem acordo/convênio exterior),5699
