Grande Área do Conhecimento,Quantidade de Empresas
Engenharias,825
Ciências Exatas e da Terra,422
Ciências Agrárias,367
Ciências Biológicas,211
Ciências da Saúde,205
Interdisciplinar,156
Ciências Sociais Aplicadas,63
Ciências Humanas,24
"Linguística, Letras e Artes",6
