Grande Área do Conhecimento,Empresa
Ciências da Saúde,69
Ciências Biológicas,40
Engenharias,34
Ciências Agrárias,25
Ciências Exatas e da Terra,18
Interdisciplinar,5
Ciências Sociais Aplicadas,2
Ciências Humanas,1
