Pesquisadores,Quantidade
Total de Pesquisadores (todas categorias),262
Pesquisadores Responsáveis,132
Total de Pesquisadores Principais,44
Pesquisadores Principais (Atuais),7
Pesquisadores Principais (Últimos),37
Pesquisadores Principais (Anteriores),19
Pesquisadores Associados,94
Pesquisadores em Projetos com Cooperação Exterior,3
