Grande Área do Conhecimento,Empresa
Ciências da Saúde,30
Ciências Biológicas,21
Engenharias,21
Ciências Agrárias,14
Ciências Exatas e da Terra,11
Interdisciplinar,3
Ciências Sociais Aplicadas,2
Ciências Humanas,1
